Year,C
2000.0,179.4
2001.0,184.4
2002.0,188.2
2003.0,193.5
2004.0,200.2
2005.0,207.5
2006.0,215.0
2007.0,220.512
2008.0,229.306
2009.0,229.343
2010.0,233.868
2011.0,240.997
2012.0,245.698
2013.0,249.038
2014.0,252.463
2015.0,252.185
2016.0,254.85
2017.0,259.538
2018.0,265.139
2019.0,269.392
2020.0,272.908
2021.0,283.557
2022.0,303.32
2023.0,313.786
2024.0,324.397
