State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
,,,,,,(%),Rank,,,,(%),Rank,(%),Rank
MA,2003,1,"3,407","3,048",174,6.1,25,209,136.74,136.74,65.3,5,65.3,5
MA,2003,2,"3,422","3,117",175,5.8,25,198,109.44,109.45,55.2,5,55.2,5
MA,2003,3,"3,437","3,082",175,5.8,25,198,104.23,104.23,52.5,6,52.5,7
MA,2003,4,"3,411","3,109",176,5.2,25,177,97.59,97.6,55.3,7,55.3,7
MA,2004,1,"3,403","3,019",176,5.9,26,200,126.97,126.97,63.3,4,63.3,4
MA,2004,2,"3,405","3,113",177,5.1,29,174,90.9,90.9,52.1,5,52.1,5
MA,2004,3,"3,419","3,087",178,4.9,32,169,87.15,87.15,51.5,4,51.5,4
MA,2004,4,"3,376","3,126",179,4.5,29,151,81.55,81.55,53.9,4,53.9,4
MA,2005,1,"3,355","3,039",179,5.4,30,180,112.57,112.57,62.6,5,62.6,5
MA,2005,2,"3,385","3,134",181,4.7,32,160,80.58,80.58,50.4,6,50.4,6
MA,2005,3,"3,418","3,115",182,4.7,31,161,77.39,77.39,48.1,4,48.1,4
MA,2005,4,"3,384","3,151",183,4.4,31,150,72.28,72.28,48.3,8,48.3,8
MA,2006,1,"3,373","3,075",183,5.2,24,174,101.77,101.77,58.3,7,58.3,7
MA,2006,2,"3,401","3,168",183,4.7,20,159,74.38,74.38,46.9,6,46.9,6
MA,2006,3,"3,447","3,149",183,4.8,21,164,75.96,75.96,46.2,6,46.2,6
MA,2006,4,"3,426","3,191",184,4.2,23,145,77.59,77.59,53.4,5,53.4,5
MA,2007,1,"3,413","3,113",184,5.1,22,173,101.14,101.14,58.5,9,58.5,9
MA,2007,2,"3,432","3,211",185,4.4,22,152,78.97,78.97,52,5,52,5
MA,2007,3,"3,458","3,191",185,4.5,23,155,81.41,81.41,52.6,4,52.6,4
MA,2007,4,"3,431","3,225",186,4.1,30,142,78.58,78.58,55.4,6,55.4,6
MA,2008,1,"3,425","3,148",187,5.1,29,174,110.47,110.47,63.6,6,63.6,6
MA,2008,2,"3,456","3,232",188,4.8,30,167,86.79,86.79,51.9,7,51.9,7
MA,2008,3,"3,505","3,203",188,5.5,25,191,95.17,95.18,49.7,5,49.7,6
MA,2008,4,"3,478","3,205",189,5.8,29,202,105.32,105.33,52.1,9,52.1,9
MD,2003,1,"2,860","2,259",136,5,43,144,52.09,52.09,36.2,39,36.2,39
MD,2003,2,"2,885","2,322",137,4.9,40,141,44.29,44.29,31.5,36,31.5,36
MD,2003,3,"2,896","2,312",135,4.8,39,139,44.29,44.29,31.9,34,31.9,34
MD,2003,4,"2,883","2,331",134,4.5,41,129,41.29,41.29,32.1,35,32.1,35
MD,2004,1,"2,866","2,281",137,4.9,41,140,48.82,48.82,34.9,37,34.9,37
MD,2004,2,"2,875","2,345",138,4.5,39,130,36.75,36.75,28.3,38,28.3,38
MD,2004,3,"2,903","2,333",136,4.6,35,134,35.62,35.62,26.6,38,26.6,38
MD,2004,4,"2,896","2,372",137,4.4,31,128,33.35,33.35,26,39,26,39
MD,2005,1,"2,885","2,319",139,5,38,144,41.76,41.76,29.1,39,29.1,39
MD,2005,2,"2,929","2,385",140,4.5,34,133,32.85,32.85,24.7,40,24.7,40
MD,2005,3,"2,962","2,377",139,4.4,33,130,32.37,32.37,24.9,36,24.9,36
MD,2005,4,"2,952","2,405",139,4,37,119,29.87,29.87,25,39,25,39
MD,2006,1,"2,944","2,362",142,4.2,41,123,37.09,37.09,30.3,39,30.3,39
MD,2006,2,"2,981","2,421",142,4.2,34,126,29.59,29.59,23.5,40,23.5,40
MD,2006,3,"3,013","2,402",141,4.4,30,133,31.49,31.49,23.7,39,23.7,39
MD,2006,4,"3,000","2,434",142,3.9,29,117,30.46,30.46,26.1,45,26.1,45
MD,2007,1,"2,969","2,384",143,4.1,37,122,39,39,32,37,32,37
MD,2007,2,"2,979","2,441",144,3.7,37,110,31.09,31.09,28.4,37,28.4,37
MD,2007,3,"3,011","2,418",142,3.7,37,112,33.25,33.25,29.7,31,29.7,31
MD,2007,4,"2,998","2,447",143,3.4,42,102,36.29,36.29,35.6,28,35.6,28
MD,2008,1,"2,988","2,392",144,3.8,45,114,45.68,45.68,40.1,28,40.1,28
MD,2008,2,"3,028","2,440",144,4,43,122,41.33,41.33,33.8,31,33.8,31
MD,2008,3,"3,056","2,401",142,4.7,38,145,45.36,45.36,31.3,29,31.3,29
MD,2008,4,"3,040","2,410",142,5.4,35,165,55.58,55.59,33.8,37,33.8,38
MI,2003,1,"5,006","4,209",210,7.4,7,370,194.71,194.71,52.6,15,52.6,17
MI,2003,2,"5,050","4,298",210,7.3,5,369,151.32,151.32,41.1,22,41.1,22
MI,2003,3,"5,057","4,251",211,7.3,6,371,140.31,140.63,37.8,22,37.9,22
MI,2003,4,"5,031","4,309",211,6.3,9,319,141.04,148.3,44.2,17,46.5,13
MI,2004,1,"5,016","4,160",212,7.4,7,372,204.21,209.79,55,11,56.5,10
MI,2004,2,"5,044","4,282",214,6.7,7,340,137.02,137.04,40.3,14,40.3,14
MI,2004,3,"5,086","4,244",215,7,5,356,123.44,123.44,34.7,18,34.7,18
MI,2004,4,"5,078","4,299",213,6.7,6,341,121.64,121.64,35.6,22,35.6,22
MI,2005,1,"5,030","4,155",213,7.6,6,383,185.37,185.37,48.4,13,48.4,13
MI,2005,2,"5,076","4,287",215,6.8,6,343,132.98,132.98,38.7,16,38.7,16
MI,2005,3,"5,100","4,246",215,6.6,7,336,122.46,122.46,36.5,18,36.5,18
MI,2005,4,"5,072","4,280",214,6.2,7,313,123.68,123.68,39.5,15,39.5,15
MI,2006,1,"5,031","4,127",216,7.4,4,372,192.65,192.65,51.8,11,51.8,11
MI,2006,2,"5,064","4,233",217,6.9,3,348,140.47,140.47,40.4,12,40.4,12
MI,2006,3,"5,085","4,170",219,7.3,3,371,130.77,130.77,35.2,18,35.2,18
MI,2006,4,"5,047","4,197",219,6.5,3,330,138.75,138.75,42.1,17,42.1,17
MI,2007,1,"4,984","4,055",220,7.4,3,370,192.06,192.06,52,14,52,14
MI,2007,2,"4,995","4,168",222,6.9,3,345,134.06,134.06,38.9,18,38.9,18
MI,2007,3,"5,024","4,127",223,7.3,3,365,116.68,116.68,32,24,32,24
MI,2007,4,"4,977","4,150",224,6.8,3,339,126.29,126.29,37.2,25,37.2,25
MI,2008,1,"4,915","4,001",226,7.7,3,377,185.91,185.91,49.3,15,49.3,15
