Year,State,Insured Unemployment
2000,AK,0.60879994588987
2000,AL,0.29208564615296
2000,AR,0.45345821793852
2000,AZ,0.2057091472626
2000,CA,0.40979121129037
2000,CO,0.2339362942664
2000,CT,0.76407753368998
2000,DC,0.32272032363013
2000,DE,0.39749550753952
2000,FL,0.23813360315712
2000,GA,0.23394513674957
2000,HI,0.32693588065572
2000,IA,0.45167644061341
2000,ID,0.39239063104112
2000,IL,0.36003996748824
2000,IN,0.33647482755853
2000,KS,0.29631998635453
2000,KY,0.31319400553123
2000,LA,0.22960018070207
2000,MA,0.63767645663563
2000,MD,0.29183831429671
2000,ME,0.39376441773702
2000,MI,0.43419663349932
2000,MN,0.36875455106639
2000,MO,0.41440965750913
2000,MS,0.28074094154518
2000,MT,0.34374940839161
2000,NC,0.35139831313921
2000,ND,0.37992504555138
2000,NE,0.27919640463366
2000,NH,0.17083107868171
2000,NJ,0.5404465583471
2000,NM,0.2230286994157
2000,NV,0.44269884063201
2000,NY,0.35402092081706
2000,OH,0.30207674334253
2000,OK,0.24648669913636
2000,OR,0.43759912044289
2000,PA,0.51380108612948
2000,PR,0.37749750670894
2000,RI,0.5603153700822
2000,SC,0.37098396769276
2000,SD,0.19696253321244
2000,TN,0.38294352303659
2000,TX,0.23696587840243
2000,UT,0.27608623178484
2000,VA,0.27144093890694
2000,VT,0.51010862789092
2000,WA,0.44711973985973
2000,WI,0.52601543142193
2000,WV,0.31523877984263
2000,WY,0.28743637084559
2000,US,0.36205585182673
