State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
,,,,,,(%),Rank,,,,(%),Rank,(%),Rank
AR,2020,1,"1,350","1,197",72,4.4,20,59,12.91,12.91,21.9,45,21.9,45
AR,2020,2,"1,346","1,113",73,8.9,45,120,104.97,104.97,87.7,27,87.7,27
AR,2020,3,"1,344","1,130",73,6.8,34,91,54.73,55.81,60.3,47,61.5,47
AR,2020,4,"1,323","1,174",74,4.6,38,61,21.55,22.84,35.3,45,37.4,46
AZ,2015,1,"3,161","2,541",124,6.1,20,194,26.89,26.89,13.9,51,13.9,51
AZ,2015,2,"3,181","2,534",125,6.1,12,194,31.39,31.39,16.2,44,16.2,44
AZ,2015,3,"3,192","2,515",125,6.4,7,204,34.16,34.16,16.7,45,16.7,45
AZ,2015,4,"3,204","2,631",127,5.7,11,184,26.06,26.06,14.2,46,14.2,46
AZ,2016,1,"3,230","2,611",127,5.5,20,177,24.34,24.34,13.8,49,13.8,49
AZ,2016,2,"3,241","2,606",129,5.5,13,178,29.38,29.38,16.5,42,16.5,42
AZ,2016,3,"3,265","2,590",130,5.8,10,189,32.33,32.33,17.1,41,17.1,41
AZ,2016,4,"3,277","2,692",131,5.1,14,167,24.42,24.42,14.6,46,14.6,46
AZ,2017,1,"3,219","2,676",131,5.1,20,165,22.82,22.82,13.9,49,13.9,49
AZ,2017,2,"3,230","2,674",133,4.9,9,158,26.34,26.34,16.6,42,16.6,42
AZ,2017,3,"3,252","2,653",133,5.2,8,167,29.28,29.28,17.5,38,17.5,38
AZ,2017,4,"3,259","2,764",134,4.6,7,151,22.44,22.44,14.9,47,14.9,47
AZ,2018,1,"3,286","2,754",135,4.8,14,157,19.35,19.35,12.3,51,12.3,51
AZ,2018,2,"3,306","2,745",137,4.7,8,154,23.88,23.88,15.5,45,15.5,45
AZ,2018,3,"3,338","2,736",137,5,7,168,27.28,27.28,16.2,42,16.2,42
AZ,2018,4,"3,373","2,848",138,4.7,6,160,18.99,18.99,11.9,49,11.9,49
AZ,2019,1,"3,403","2,835",138,4.9,9,168,17.06,17.06,10.2,50,10.2,50
AZ,2019,2,"3,411","2,827",139,4.8,7,164,21.69,21.69,13.2,45,13.2,45
AZ,2019,3,"3,446","2,817",140,5,6,173,24.2,24.2,14,46,14,46
AZ,2019,4,"3,470","2,929",141,4.4,9,154,17.43,17.43,11.3,49,11.3,49
AZ,2020,1,"3,488","2,912",141,4.9,13,170,19.17,19.17,11.3,51,11.3,51
AZ,2020,2,"3,412","2,632",144,11.5,26,394,199.33,199.33,50.6,52,50.6,52
AZ,2020,3,"3,482","2,683",144,8.5,18,296,200.51,200.96,67.8,42,67.9,42
AZ,2020,4,"3,503","2,832",145,6.4,21,225,99.49,105.03,44.2,38,46.7,40
