State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
,,,,,,(%),Rank,,,,(%),Rank,(%),Rank
RI,2024,1,588,469,45,4.6,11,27,12.86,12.86,47.5,7,47.5,7
RI,2024,2,590,486,45,4,15,23,8.82,8.82,37.8,9,37.8,9
RI,2024,3,594,487,45,4.5,13,27,10.71,10.71,39.6,5,39.6,5
RI,2024,4,591,489,45,4.2,14,25,9.12,9.12,36.4,10,36.4,10
SC,2024,1,"2,507","2,216",148,3.8,25,95,14.4,14.4,15.2,46,15.2,46
SC,2024,2,"2,544","2,251",150,3.9,20,99,13.9,13.9,14,48,14,48
SC,2024,3,"2,557","2,249",153,4.7,10,120,15.29,15.29,12.8,47,12.8,47
SC,2024,4,"2,535","2,268",156,4.2,14,106,13.92,13.92,13.1,48,13.1,48
SD,2024,1,480,435,34,1.9,53,9,2.74,2.74,29.4,25,29.4,25
SD,2024,2,490,451,35,1.8,53,9,1.39,1.39,15.6,41,15.6,41
SD,2024,3,494,452,35,1.7,53,9,1.19,1.19,14,44,14,44
SD,2024,4,489,449,35,1.8,53,9,1.63,1.63,18.9,34,18.9,34
TN,2024,1,"3,392","3,183",167,3.2,39,108,17.88,17.88,16.6,42,16.6,42
TN,2024,2,"3,425","3,225",169,3.2,33,110,20.24,20.24,18.5,33,18.5,33
TN,2024,3,"3,430","3,206",171,3.7,29,128,20.06,20.06,15.6,38,15.6,38
TN,2024,4,"3,435","3,252",172,3.6,24,124,15.79,15.79,12.8,49,12.8,49
TX,2024,1,"15,446","13,552",665,4.1,19,632,138.28,138.28,21.9,34,21.9,34
TX,2024,2,"15,554","13,684",669,3.9,20,612,143.41,143.41,23.4,25,23.4,25
TX,2024,3,"15,694","13,654",671,4.4,17,685,156.46,156.46,22.8,25,22.8,25
TX,2024,4,"15,741","13,885",674,3.9,22,621,143.81,143.81,23.2,26,23.2,26
UT,2024,1,"1,818","1,651",110,3.1,41,57,15.82,15.82,27.7,27,27.7,27
UT,2024,2,"1,828","1,672",110,3.2,33,59,12.15,12.15,20.7,29,20.7,29
UT,2024,3,"1,842","1,671",111,3.4,36,62,11.87,11.87,19.2,30,19.2,30
UT,2024,4,"1,843","1,695",112,3,41,55,13.01,13.01,23.6,25,23.6,25
VA,2024,1,"4,565","3,859",217,2.8,46,127,19.37,19.37,15.2,46,15.2,46
VA,2024,2,"4,598","3,923",220,2.8,44,128,19.69,19.69,15.4,43,15.4,43
VA,2024,3,"4,605","3,919",223,3.1,43,144,20.22,20.22,14,44,14,44
VA,2024,4,"4,575","3,945",227,2.8,45,126,19.48,19.48,15.5,42,15.5,42
VI,2024,1,,35,5,NA,1,,0.22,0.22,NA,1,NA,1
VI,2024,2,,35,5,NA,1,,0.25,0.25,NA,1,NA,1
VI,2024,3,,35,5,NA,1,,0.33,0.33,NA,1,NA,1
VI,2024,4,,32,5,NA,1,,0.34,0.34,NA,1,NA,1
VT,2024,1,354,300,29,2.4,52,8,3.84,3.84,46,9,46,9
VT,2024,2,355,301,29,2.2,52,8,2.6,2.6,33.4,10,33.4,10
VT,2024,3,359,303,30,2.4,51,8,2.3,2.3,27.1,17,27.1,17
VT,2024,4,356,303,30,2.3,51,8,2.43,2.43,29.2,20,29.2,20
WA,2024,1,"4,049","3,473",271,4.9,9,200,68.62,68.62,34.4,19,34.4,19
WA,2024,2,"4,056","3,550",273,4.3,10,172,56.87,56.87,33,12,33,12
WA,2024,3,"4,076","3,585",261,4.5,13,182,55.48,55.48,30.5,12,30.5,12
WA,2024,4,"4,060","3,530",247,4.3,12,174,63.7,63.7,36.7,9,36.7,9
,,,,,,,,,,,,,,
