Year,State,Insured Unemployment
2003,AK,0.55852347183433
2003,AL,0.30743589777213
2003,AR,0.47132214879175
2003,AZ,0.30232129225633
2003,CA,0.44683838931872
2003,CO,0.27187373333935
2003,CT,0.54725394371336
2003,DC,0.32578067265197
2003,DE,0.52796431232922
2003,FL,0.33115795742372
2003,GA,0.30809788549839
2003,HI,0.43954055929478
2003,IA,0.44235480938852
2003,ID,0.50455380368885
2003,IL,0.42983467063836
2003,IN,0.38953051972136
2003,KS,0.38602540930886
2003,KY,0.32624537484356
2003,LA,0.28827863678088
2003,MA,0.55093066846896
2003,MD,0.35002992276634
2003,ME,0.37066602199049
2003,MI,0.43393639190948
2003,MN,0.43788376261095
2003,MO,0.40636920255547
2003,MS,0.32965059039153
2003,MT,0.44561487814448
2003,NC,0.3661089206931
2003,ND,0.3719823501619
2003,NE,0.37666429576719
2003,NH,0.30124294019478
2003,NJ,0.52371910549857
2003,NM,0.28495584322094
2003,NV,0.45919737464205
2003,NY,0.40424775050496
2003,OH,0.35416738459313
2003,OK,0.31190611725041
2003,OR,0.46356499736451
2003,PA,0.6159715619689
2003,PR,0.29104250313597
2003,RI,0.46298004119914
2003,SC,0.33768271541296
2003,SD,0.23722605184652
2003,TN,0.36180533933234
2003,TX,0.27062419385722
2003,UT,0.27521442323004
2003,VA,0.30755354889661
2003,VT,0.55368916970291
2003,WA,0.45287664027687
2003,WI,0.53399329791978
2003,WV,0.36771519421521
2003,WY,0.34501393943078
2003,US,0.39761825080728
