Year,Midwest
2000.0,168.3
2001.0,172.8
2002.0,174.9
2003.0,178.3
2004.0,182.6
2005.0,188.4
2006.0,193.0
2007.0,198.123
2008.0,205.382
2009.0,204.064
2010.0,208.046
2011.0,214.743
2012.0,219.1
2013.0,222.17
2014.0,225.425
2015.0,224.21
2016.0,226.115
2017.0,229.874
2018.0,234.29
2019.0,237.776
2020.0,240.04
2021.0,252.242
2022.0,272.401
2023.0,282.76
2024.0,290.37
