Year,State,Insured Unemployment
2024,AK,0.22725909217747
2024,AL,0.12999023433092
2024,AR,0.17144749778666
2024,AZ,0.19730240181557
2024,CA,0.37429973589419
2024,CO,0.21546825093291
2024,CT,0.43639920016535
2024,DC,0.23154055071363
2024,DE,0.28615376373332
2024,FL,0.097554480005219
2024,GA,0.15996093412486
2024,HI,0.32199181590508
2024,IA,0.247058849536
2024,ID,0.1781750766485
2024,IL,0.30181221271512
2024,IN,0.15636729283263
2024,KS,0.13813309609788
2024,KY,0.084406197651201
2024,LA,0.13054062803863
2024,MA,0.40875582546909
2024,MD,0.23927591365237
2024,ME,0.26977711031894
2024,MI,0.22949948526016
2024,MN,0.58645407319935
2024,MO,0.16491075932393
2024,MS,0.17553044722689
2024,MT,0.38773206160734
2024,NC,0.12847292462842
2024,ND,0.31759757776351
2024,NE,0.17261716814464
2024,NH,0.15878929900019
2024,NJ,0.48682809544573
2024,NM,0.23838677057026
2024,NV,0.27157268568231
2024,NY,0.38100099723182
2024,OH,0.18331372794991
2024,OK,0.15285987895833
2024,OR,0.33528961101013
2024,PA,0.40102393791831
2024,PR,0.23060348120666
2024,RI,0.39583553678279
2024,SC,0.14041705588872
2024,SD,0.19239621138355
2024,TN,0.16017064434584
2024,TX,0.22908078842358
2024,UT,0.22489213266073
2024,VA,0.14493671188964
2024,VT,0.31461782049077
2024,WA,0.32312608443525
2024,WI,0.29727128186228
2024,WV,0.24332993795277
2024,WY,0.19699074476028
2024,US,0.26787600733045
