State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
,,,,,,(%),Rank,,,,(%),Rank,(%),Rank
NC,2009,1,"4,641","3,788",202,11.3,6,526,214.7,219.84,40.8,35,41.8,34
NC,2009,2,"4,639","3,776",202,11.4,4,528,218.87,231.98,41.5,32,44,30
NC,2009,3,"4,608","3,716",200,10.9,8,501,201.02,222.35,40.1,25,44.4,25
NC,2009,4,"4,564","3,743",199,10.5,13,481,190,210.42,39.5,26,43.7,23
NC,2010,1,"4,613","3,656",198,11.8,9,546,207.38,217.76,38,25,39.9,24
NC,2010,2,"4,667","3,732",198,10.8,8,502,168.72,193.92,33.6,26,38.6,23
NC,2010,3,"4,633","3,703",197,10.2,12,474,132.29,167.88,27.9,30,35.4,26
NC,2010,4,"4,622","3,769",196,10.2,10,470,125.4,165.92,26.7,32,35.3,24
NC,2011,1,"4,628","3,709",196,10.8,6,498,136.54,181.02,27.4,36,36.3,28
NC,2011,2,"4,661","3,791",195,10.1,8,472,112.87,142.82,23.9,35,30.2,28
NC,2011,3,"4,674","3,756",195,10.3,10,482,111.33,141.12,23.1,35,29.3,22
NC,2011,4,"4,668","3,815",195,9.8,6,459,113.82,139.46,24.8,33,30.4,29
NC,2012,1,"4,673","3,774",196,9.9,6,463,123.96,145.41,26.8,35,31.4,34
NC,2012,2,"4,716","3,850",197,9.4,6,441,103.7,116.38,23.5,35,26.4,31
NC,2012,3,"4,738","3,826",197,9.5,7,452,106.8,107.78,23.6,30,23.9,28
NC,2012,4,"4,755","3,891",197,9.2,6,440,106.33,106.5,24.2,35,24.2,35
NC,2013,1,"4,723","3,836",198,9.3,9,441,109.73,109.8,24.9,34,24.9,34
NC,2013,2,"4,724","3,913",199,8.1,12,381,92.91,92.92,24.4,30,24.4,30
NC,2013,3,"4,697","3,899",198,7.3,22,342,93.57,93.57,27.3,24,27.3,24
NC,2013,4,"4,661","3,972",199,6.3,27,296,73.84,73.84,25,30,25,30
NC,2014,1,"4,657","3,899",200,6.5,31,304,69.64,69.64,22.9,40,22.9,40
NC,2014,2,"4,708","4,001",200,6,24,283,54.26,54.26,19.1,42,19.1,42
NC,2014,3,"4,713","3,988",202,6.3,21,298,50.42,50.42,16.9,45,16.9,45
NC,2014,4,"4,714","4,066",202,5.6,23,266,40.43,40.43,15.2,46,15.2,46
ND,2009,1,366,332,20,4.8,52,18,10.1,10.1,56.9,11,56.9,11
ND,2009,2,373,342,20,3.9,53,15,6.88,6.88,47,26,47,28
ND,2009,3,375,340,21,3.5,53,13,5.04,5.04,38.1,30,38.1,36
ND,2009,4,367,346,21,3.5,53,13,5.25,5.25,40.8,22,40.8,29
ND,2010,1,370,334,21,4.7,53,17,9.78,9.78,56,6,56,6
ND,2010,2,383,349,21,3.6,53,14,4.8,4.8,34.5,24,34.5,27
ND,2010,3,385,350,21,3.3,53,13,3.65,3.65,28.7,29,28.7,41
ND,2010,4,379,360,21,3.2,53,12,4.13,4.13,34.5,17,34.5,28
ND,2011,1,380,352,21,4.1,53,16,8.19,8.19,52.3,5,52.3,7
ND,2011,2,389,367,22,3.4,53,13,3.96,3.96,30.1,22,30.1,30
ND,2011,3,393,372,22,3.1,53,12,3.14,3.14,25.7,24,25.7,31
ND,2011,4,388,387,22,2.8,53,11,3.29,3.29,30.5,23,30.5,27
ND,2012,1,388,384,23,3.7,53,14,7.25,7.25,51.1,5,51.1,7
ND,2012,2,398,404,23,2.9,53,11,3.14,3.14,27.4,26,27.4,29
ND,2012,3,401,407,24,2.7,53,11,2.76,2.76,26,25,26,25
ND,2012,4,395,413,24,2.6,53,10,4.47,4.47,44.1,3,44.1,3
ND,2013,1,395,403,25,3.7,53,15,8.34,8.34,57.4,3,57.4,3
ND,2013,2,405,418,25,2.9,53,12,4.94,4.94,41.5,4,41.5,4
ND,2013,3,407,421,25,2.6,53,10,3.37,3.37,32.2,10,32.2,10
ND,2013,4,399,429,25,2.4,53,9,4.4,4.4,46.4,3,46.4,3
ND,2014,1,400,417,26,3.4,53,13,8.76,8.76,65,2,65,2
ND,2014,2,411,437,26,2.6,53,11,3.78,3.78,35.7,12,35.7,12
ND,2014,3,416,440,26,2.4,53,10,2.71,2.71,27.6,17,27.6,17
ND,2014,4,411,448,26,2.2,53,9,4.13,4.13,46,3,46,3
NJ,2009,1,"4,503","3,710",242,8.3,26,374,224.34,224.35,60,8,60,8
NJ,2009,2,"4,552","3,761",240,8.6,23,391,215.01,253.96,55,11,65,5
NJ,2009,3,"4,571","3,646",236,9.4,21,431,204.52,264.38,47.5,13,61.3,3
NJ,2009,4,"4,535","3,732",235,9.5,21,432,173.66,197.72,40.2,24,45.7,17
NJ,2010,1,"4,541","3,622",236,10.4,21,470,194.12,195.31,41.3,21,41.5,22
NJ,2010,2,"4,580","3,736",237,9.5,20,437,158.66,196.78,36.3,22,45.1,11
NJ,2010,3,"4,578","3,633",235,9.6,20,438,170.55,223.48,38.9,8,51,4
NJ,2010,4,"4,540","3,728",236,9.2,20,418,152.84,206.27,36.6,11,49.4,5
NJ,2011,1,"4,533","3,622",229,9.8,17,446,176.07,221.73,39.5,14,49.7,10
NJ,2011,2,"4,562","3,731",230,9.3,18,423,140.38,180.48,33.2,14,42.7,6
NJ,2011,3,"4,589","3,650",228,9.4,17,433,146.54,183.18,33.8,8,42.3,5
NJ,2011,4,"4,564","3,746",227,8.9,13,406,133.8,169.17,32.9,16,41.6,7
NJ,2012,1,"4,554","3,669",227,9.7,7,442,161.67,196.49,36.6,18,44.5,12
NJ,2012,2,"4,584","3,769",229,9.4,6,429,131.03,162.38,30.5,16,37.8,9
NJ,2012,3,"4,597","3,682",227,9.6,6,440,139.41,144.37,31.7,13,32.8,11
NJ,2012,4,"4,571","3,779",227,8.9,7,405,140.74,140.98,34.8,18,34.8,19
NJ,2013,1,"4,552","3,704",228,9.4,7,430,155.7,155.89,36.2,15,36.3,15
NJ,2013,2,"4,557","3,811",229,8.6,9,392,126.82,126.94,32.4,15,32.4,15
NJ,2013,3,"4,541","3,734",231,8.3,10,378,136.68,136.75,36.1,6,36.2,6
NJ,2013,4,"4,462","3,826",228,7.2,12,322,128.93,128.99,40,9,40.1,9
NJ,2014,1,"4,463","3,713",229,7.6,13,338,157.54,157.57,46.6,10,46.6,10
NJ,2014,2,"4,494","3,839",231,6.5,16,292,119.59,119.71,40.9,5,41,5
NJ,2014,3,"4,522","3,761",229,6.8,15,309,126.93,126.93,41.1,3,41.1,3
NJ,2014,4,"4,497","3,860",229,6,15,271,117.31,117.31,43.3,5,43.3,5
NM,2009,1,926,764,46,6.4,43,59,26.65,31.08,45.2,29,52.8,16
NM,2009,2,933,763,46,7.2,38,67,31.88,31.88,47.5,24,47.5,26
NM,2009,3,930,754,46,7.6,38,71,30.04,30.04,42.5,20,42.5,28
