State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
,,,,,,(%),Rank,,,,(%),Rank,(%),Rank
NC,2015,1,"4,714","4,007",204,5.8,26,273,40.08,40.08,14.7,48,14.7,48
NC,2015,2,"4,783","4,098",206,5.8,18,276,34.12,34.12,12.4,49,12.4,49
NC,2015,3,"4,776","4,090",206,5.8,13,277,32.33,32.33,11.7,51,11.7,51
NC,2015,4,"4,783","4,171",208,5.3,18,254,29.43,29.43,11.6,52,11.6,52
NC,2016,1,"4,799","4,112",210,5.2,25,252,29.44,29.44,11.7,51,11.7,51
NC,2016,2,"4,851","4,203",211,5,19,242,25.21,25.21,10.4,52,10.4,52
NC,2016,3,"4,861","4,188",211,5.2,17,252,25.36,25.36,10,52,10,52
NC,2016,4,"4,868","4,248",213,4.9,16,239,23.56,23.56,9.8,51,9.8,51
NC,2017,1,"4,819","4,194",215,4.8,28,232,25.33,25.33,10.9,51,10.9,51
NC,2017,2,"4,864","4,267",218,4.4,17,216,21.11,21.11,9.8,52,9.8,52
NC,2017,3,"4,902","4,256",217,4.6,20,226,21.61,21.61,9.5,53,9.5,53
NC,2017,4,"4,878","4,316",219,4.2,18,205,19.25,19.25,9.4,53,9.4,53
NC,2018,1,"4,874","4,271",222,4.2,29,207,19.98,19.98,9.7,52,9.7,52
NC,2018,2,"4,924","4,353",224,3.9,20,194,20.22,20.22,10.4,52,10.4,52
NC,2018,3,"4,922","4,332",226,4,18,197,19.5,19.5,9.9,52,9.9,52
NC,2018,4,"4,928","4,398",227,3.8,16,188,18.06,18.06,9.6,53,9.6,53
NC,2019,1,"4,969","4,367",229,4.2,23,209,18.21,18.21,8.7,52,8.7,52
NC,2019,2,"4,991","4,429",231,3.8,18,190,16.93,16.93,8.9,53,8.9,53
NC,2019,3,"5,023","4,420",232,3.9,17,196,17.87,17.87,9.1,52,9.1,52
NC,2019,4,"5,020","4,482",233,3.5,18,177,17.26,17.26,9.7,51,9.7,51
NC,2020,1,"4,947","4,426",235,4.1,28,204,29.1,29.1,14.2,50,14.2,50
NC,2020,2,"4,713","4,020",238,11.8,22,557,397.29,397.29,71.3,43,71.3,43
NC,2020,3,"4,819","4,192",241,7.5,29,361,148.23,160.99,41.1,51,44.6,51
NC,2020,4,"4,845","4,346",245,5.5,28,268,53.78,117.01,20,53,43.6,42
ND,2015,1,409,429,26,3.3,52,14,10.42,10.42,76.8,2,76.8,2
ND,2015,2,414,433,26,2.9,53,12,7.77,7.77,65.2,2,65.2,2
ND,2015,3,414,425,26,2.5,53,10,6.3,6.3,60.4,2,60.4,2
ND,2015,4,407,424,26,2.4,53,10,7.11,7.11,71.4,2,71.4,2
ND,2016,1,408,401,26,3.9,46,16,14.11,14.11,88.4,2,88.4,2
ND,2016,2,415,411,26,3.2,48,13,8.33,8.33,61.9,2,61.9,2
ND,2016,3,417,409,26,2.7,53,11,5.2,5.2,45.4,2,45.4,2
ND,2016,4,407,410,26,2.5,53,10,5.55,5.55,54.3,2,54.3,2
ND,2017,1,413,395,25,3.6,46,15,10.73,10.73,73.2,2,73.2,2
ND,2017,2,420,409,25,2.5,51,11,4.33,4.33,40.7,7,40.7,7
ND,2017,3,420,405,25,2.2,52,9,3.03,3.03,32.6,11,32.6,11
ND,2017,4,410,409,25,2.2,52,9,4.02,4.02,45.3,8,45.3,8
ND,2018,1,410,397,25,3.3,44,13,8.85,8.85,65.8,2,65.8,2
ND,2018,2,415,411,25,2.4,51,10,3.74,3.74,37,12,37,12
ND,2018,3,415,410,25,2,53,8,2.17,2.17,26.1,20,26.1,20
ND,2018,4,408,415,25,1.9,52,8,3.15,3.15,41.4,8,41.4,8
ND,2019,1,411,404,25,3,50,12,6.76,6.76,55.4,5,55.4,5
ND,2019,2,417,417,25,2.2,52,9,3.04,3.04,33.3,16,33.3,16
ND,2019,3,419,414,25,1.8,53,8,2.39,2.39,31,15,31,15
ND,2019,4,411,418,25,1.7,52,7,3.45,3.45,50.5,5,50.5,5
ND,2020,1,407,405,25,2.7,51,11,8.58,8.58,77.6,3,77.6,3
ND,2020,2,410,372,26,7.6,50,31,35.21,35.21,112.7,11,112.7,11
ND,2020,3,415,382,26,5.3,46,22,21.11,21.37,96.1,24,97.3,24
ND,2020,4,405,387,26,4.1,46,17,8.49,8.54,51.2,31,51.5,34
NJ,2015,1,"4,486","3,749",231,6.6,10,297,141.37,141.37,47.6,10,47.6,10
NJ,2015,2,"4,516","3,879",231,5.9,14,266,102.83,102.83,38.7,8,38.7,8
NJ,2015,3,"4,500","3,811",230,5.6,18,252,111.59,111.59,44.3,3,44.3,3
NJ,2015,4,"4,477","3,926",231,4.7,25,212,100.28,100.28,47.3,4,47.3,4
NJ,2016,1,"4,489","3,820",233,5.3,23,238,128.67,128.67,54,6,54,6
NJ,2016,2,"4,502","3,942",233,4.9,21,221,97.04,97.04,44,6,44,6
NJ,2016,3,"4,512","3,876",230,5.1,20,231,104.64,104.64,45.3,3,45.3,3
NJ,2016,4,"4,469","3,980",231,4.4,27,197,94.94,94.94,48.2,5,48.2,5
NJ,2017,1,"4,602","3,879",234,4.9,26,225,123.86,123.86,55,4,55,4
NJ,2017,2,"4,627","4,001",237,4.3,22,201,94,94,46.7,3,46.7,3
NJ,2017,3,"4,640","3,920",233,4.7,17,218,102.48,102.48,47.1,3,47.1,3
NJ,2017,4,"4,591","4,031",234,4.2,18,191,93.66,93.66,49,4,49,5
NJ,2018,1,"4,585","3,921",236,4.8,14,219,116.65,116.65,53.3,7,53.3,7
NJ,2018,2,"4,608","4,037",236,4,18,184,88.49,88.49,48.1,2,48.1,2
NJ,2018,3,"4,617","3,956",234,4,18,185,97.51,97.51,52.8,2,52.8,2
NJ,2018,4,"4,609","4,067",235,3.2,30,149,85.07,85.07,57.2,2,57.2,2
NJ,2019,1,"4,633","3,968",236,3.9,28,180,110.94,110.94,61.6,2,61.6,2
NJ,2019,2,"4,652","4,073",241,3,36,140,83.66,83.66,59.8,2,59.8,2
NJ,2019,3,"4,723","3,996",244,3.6,23,168,94.22,94.22,56.1,2,56.1,2
NJ,2019,4,"4,742","4,101",240,3.4,19,162,85.51,85.51,52.9,3,52.9,3
NJ,2020,1,"4,753","3,997",240,4.5,18,214,124.85,124.85,58.3,9,58.3,9
NJ,2020,2,"4,539","3,420",249,14.8,10,674,532.01,532.01,79,38,79,38
NJ,2020,3,"4,676","3,586",252,11.8,4,552,425.94,443.61,77.2,38,80.4,35
NJ,2020,4,"4,585","3,801",248,6.8,15,310,179.44,220.07,57.8,26,70.9,16
NM,2015,1,934,770,46,6.6,10,62,14.25,14.25,23.2,39,23.2,39
NM,2015,2,942,781,47,6.7,6,63,13.22,13.23,20.9,37,20.9,37
NM,2015,3,937,776,47,6.9,4,64,11.88,11.88,18.5,39,18.5,39
NM,2015,4,940,784,47,6.3,4,59,12.06,12.06,20.3,39,20.3,39
NM,2016,1,938,772,47,6.5,6,61,13.95,13.95,22.8,39,22.8,39
NM,2016,2,944,781,47,6.6,3,63,13.15,13.15,21,36,21,36
NM,2016,3,948,777,47,7.3,3,69,12.3,12.3,17.9,38,17.9,38
NM,2016,4,948,782,47,6.6,3,62,11.27,11.27,18.1,38,18.1,38
NM,2017,1,947,773,47,6.7,4,64,12.36,12.36,19.4,41,19.4,41
NM,2017,2,950,784,47,6.1,4,58,10.58,10.58,18.2,39,18.2,39
NM,2017,3,950,779,47,6.2,4,59,9.95,9.95,16.9,41,16.9,41
NM,2017,4,948,788,47,5.2,5,50,10.17,10.17,20.4,40,20.4,40
NM,2018,1,939,783,48,5.1,6,48,10.16,10.16,21.1,40,21.1,40
NM,2018,2,943,795,48,4.7,8,45,8.94,8.94,20,35,20,35
NM,2018,3,945,793,48,5,7,48,8.61,8.61,18.1,35,18.1,35
NM,2018,4,953,803,49,4.8,5,46,8.41,8.41,18.4,40,18.4,40
NM,2019,1,950,796,49,5.1,7,49,9.75,9.75,20,39,20,39
NM,2019,2,952,807,49,5,6,47,8.47,8.47,17.9,38,17.9,38
NM,2019,3,958,808,50,5.1,5,49,7.97,7.97,16.2,40,16.2,40
NM,2019,4,964,819,50,4.6,6,44,8.46,8.46,19,40,19,40
NM,2020,1,954,809,50,5.5,7,53,11.45,11.45,21.6,47,21.6,47
NM,2020,2,905,718,51,9.1,43,82,88.86,88.86,108.4,14,108.4,14
NM,2020,3,927,731,51,9.1,15,84,83.15,84.21,99.1,20,100.3,20
NM,2020,4,940,748,52,8,7,75,44.82,47.54,59.9,23,63.5,26
NY,2015,1,"9,506","8,707",518,6,23,573,223.79,223.8,39.1,14,39.1,14
NY,2015,2,"9,569","8,940",517,5.3,24,503,166.08,166.08,33.1,12,33.1,12
NY,2015,3,"9,569","8,859",521,5,27,482,166.79,166.79,34.6,10,34.6,10
NY,2015,4,"9,502","9,094",523,4.7,25,445,157.49,157.49,35.4,14,35.4,14
NY,2016,1,"9,541","8,869",519,5.2,25,496,201.2,201.2,40.6,15,40.6,15
NY,2016,2,"9,523","9,086",522,4.6,29,437,154.32,154.32,35.3,13,35.3,13
NY,2016,3,"9,574","8,994",524,5,21,481,155.74,155.74,32.4,12,32.4,12
NY,2016,4,"9,471","9,202",526,4.7,20,442,144.52,144.52,32.7,18,32.7,18
NY,2017,1,"9,790","8,990",526,5,22,490,188.64,188.64,38.5,20,38.5,20
NY,2017,2,"9,845","9,205",527,4.4,17,434,145.68,145.68,33.5,18,33.5,18
NY,2017,3,"9,928","9,113",524,4.7,17,471,149.97,149.97,31.8,13,31.8,13
NY,2017,4,"9,790","9,333",526,4.4,12,427,145.29,145.29,34,15,34,15
NY,2018,1,"9,794","9,146",523,4.8,14,471,171.31,171.31,36.4,17,36.4,17
NY,2018,2,"9,831","9,370",524,3.9,20,383,131.52,131.52,34.3,16,34.3,16
NY,2018,3,"9,865","9,265",527,4,18,392,137.98,137.98,35.2,11,35.2,11
NY,2018,4,"9,813","9,490",527,3.7,19,362,127.68,127.68,35.3,16,35.3,16
NY,2019,1,"9,824","9,279",525,4.3,20,426,162.84,162.84,38.2,17,38.2,17
NY,2019,2,"9,818","9,489",526,3.6,19,351,121.9,121.9,34.7,13,34.7,13
NY,2019,3,"9,900","9,374",527,3.9,17,385,129.58,129.58,33.7,11,33.7,11
NY,2019,4,"9,862","9,570",528,3.6,16,359,128.57,128.57,35.8,18,35.8,18
NY,2020,1,"9,900","9,329",526,4.6,16,455,209.12,209.12,45.9,15,45.9,15
NY,2020,2,"9,318","7,762",533,15.1,8,"1,407","1,766.54","1,766.54",125.5,9,125.5,9
NY,2020,3,"9,567","8,177",534,11.3,6,"1,078","1,413.37","1,443.61",131.2,8,134,8
NY,2020,4,"9,472","8,594",534,8.5,6,805,477.76,555.89,59.3,25,69,22
OH,2015,1,"5,668","5,050",221,5.7,29,326,90.48,90.48,27.8,32,27.8,32
OH,2015,2,"5,740","5,208",221,4.9,31,284,60.97,60.97,21.5,35,21.5,35
OH,2015,3,"5,726","5,217",222,4.6,33,263,54.38,54.38,20.7,34,20.7,34
OH,2015,4,"5,709","5,252",222,4.5,27,259,58.08,58.08,22.4,34,22.4,34
OH,2016,1,"5,713","5,134",223,5.6,17,318,87.58,87.58,27.6,34,27.6,34
OH,2016,2,"5,772","5,265",223,4.8,23,279,59.9,59.9,21.5,35,21.5,35
OH,2016,3,"5,784","5,272",222,5,21,286,53.11,53.11,18.5,35,18.5,35
OH,2016,4,"5,750","5,297",223,4.8,18,278,53.84,53.84,19.4,37,19.4,37
OH,2017,1,"5,770","5,177",223,5.8,7,336,80.47,80.47,23.9,34,23.9,34
OH,2017,2,"5,837","5,314",223,4.9,9,284,55.5,55.51,19.5,36,19.5,36
OH,2017,3,"5,865","5,313",224,4.9,12,287,49.67,49.67,17.3,39,17.3,39
