State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
,,,,,,(%),Rank,,,,(%),Rank,(%),Rank
AK,2009,1,354,285,17,8.5,24,30,18.47,20.07,61.6,7,66.9,4
AK,2009,2,361,301,17,8,30,29,16.89,19.22,58.1,4,66.1,4
AK,2009,3,366,312,17,7.2,42,26,13.37,16.13,50.5,8,60.9,4
AK,2009,4,357,290,17,8.2,29,29,18.55,22.69,63.8,2,78,2
AK,2010,1,358,285,17,9.5,29,34,21.17,24.98,62.5,2,73.8,2
AK,2010,2,362,302,17,8.1,32,29,16.68,20.58,56.5,2,69.8,2
AK,2010,3,367,315,17,7.1,41,26,12.59,15.99,48.4,3,61.5,2
AK,2010,4,360,295,17,8,29,29,17.57,20.45,61.2,2,71.2,2
AK,2011,1,360,290,17,8.8,29,32,20.37,23.99,64.1,2,75.5,2
AK,2011,2,364,308,17,7.8,30,28,15.14,18.21,53.5,2,64.3,2
AK,2011,3,370,322,18,6.9,41,26,11.33,11.33,44.4,2,44.4,3
AK,2011,4,364,300,18,7.6,26,28,17.01,17.01,61.8,2,61.8,2
AK,2012,1,361,296,18,8.2,27,30,19.82,22,66.7,2,74.1,2
AK,2012,2,365,315,18,7.3,26,27,14.67,14.68,54.8,2,54.8,2
AK,2012,3,369,328,18,6.4,39,24,11.58,11.58,49,2,49,2
AK,2012,4,362,305,18,6.9,25,25,16.79,16.79,66.7,2,66.8,2
AK,2013,1,360,299,18,7.9,22,28,18.77,18.77,66.3,2,66.3,2
AK,2013,2,365,317,18,7.1,23,26,14.59,14.59,56.6,2,56.6,2
AK,2013,3,369,331,18,6.2,38,23,10.76,10.76,47,2,47,2
AK,2013,4,360,305,18,6.9,18,25,15.78,15.78,63.6,2,63.6,2
AK,2014,1,361,301,18,7.8,11,28,17.95,17.95,63.9,3,63.9,3
AK,2014,2,366,321,18,6.8,11,25,13.28,13.28,53.5,2,53.5,2
AK,2014,3,369,331,18,6.2,23,23,9.48,9.48,41.4,2,41.4,2
AK,2014,4,360,308,18,6.2,12,23,12.25,12.25,54.4,2,54.4,2
AL,2009,1,"2,158","1,791",90,9.3,16,200,71.84,71.84,35.8,44,35.8,44
AL,2009,2,"2,167","1,788",89,9.6,17,209,75.22,78.47,36,43,37.5,40
AL,2009,3,"2,159","1,762",88,10.7,11,232,70.34,79.01,30.4,48,34.1,47
AL,2009,4,"2,142","1,761",88,10.7,9,230,62.51,70.35,27.2,47,30.6,45
AL,2010,1,"2,134","1,734",87,11.4,14,243,61.58,61.59,25.4,47,25.4,51
AL,2010,2,"2,210","1,764",87,10.1,16,224,51.3,54.43,22.9,47,24.3,50
AL,2010,3,"2,224","1,755",86,10.1,13,226,47.34,56.56,21,51,25.1,50
AL,2010,4,"2,219","1,765",86,9.9,12,220,46.61,56.38,21.1,47,25.6,49
AL,2011,1,"2,200","1,738",86,10.3,12,226,47.48,57.19,21,49,25.3,48
AL,2011,2,"2,211","1,765",86,9.6,14,213,41.84,50.64,19.6,48,23.8,45
AL,2011,3,"2,205","1,756",86,9.8,14,215,42.54,50.45,19.7,45,23.4,43
AL,2011,4,"2,194","1,767",86,8.6,17,189,38.39,45.66,20.3,48,24.1,44
AL,2012,1,"2,161","1,751",85,8.8,19,189,38.71,45.16,20.5,48,23.9,46
AL,2012,2,"2,180","1,781",86,8.2,19,178,34.25,36.07,19.3,47,20.3,46
AL,2012,3,"2,186","1,770",85,8.3,19,181,35.48,35.48,19.6,45,19.6,46
AL,2012,4,"2,187","1,788",85,7.4,22,163,34.97,34.97,21.5,41,21.5,41
AL,2013,1,"2,166","1,771",80,7.9,22,171,32.72,32.72,19.1,48,19.1,48
AL,2013,2,"2,179","1,799",81,7.1,23,155,31.55,31.55,20.4,40,20.4,40
AL,2013,3,"2,182","1,788",85,7.4,19,162,35.57,35.57,21.9,35,21.9,35
AL,2013,4,"2,161","1,805",85,6.9,18,149,31.01,31.01,20.8,40,20.8,40
AL,2014,1,"2,160","1,783",86,7.5,15,161,31.38,31.38,19.5,46,19.5,46
AL,2014,2,"2,169","1,816",86,6.6,13,144,27.44,27.44,19.1,42,19.1,42
AL,2014,3,"2,168","1,811",85,6.9,12,149,26.88,26.88,18,43,18,43
AL,2014,4,"2,163","1,830",86,6,15,130,24.27,24.27,18.7,41,18.7,41
AR,2009,1,"1,348","1,121",68,8,30,107,57.72,57.72,53.8,15,53.8,15
AR,2009,2,"1,367","1,121",69,7.8,36,106,61.35,63.78,57.8,5,60,8
AR,2009,3,"1,360","1,094",69,7.7,35,105,55.81,59.1,53.2,3,56.3,8
AR,2009,4,"1,338","1,115",69,7.5,38,100,54.08,54.12,54,4,54,6
AR,2010,1,"1,332","1,097",68,8.5,37,114,52.56,52.57,46.2,14,46.2,15
AR,2010,2,"1,366","1,122",69,7.6,38,104,42.09,42.09,40.6,10,40.6,19
AR,2010,3,"1,367","1,100",68,7.8,38,107,39.91,39.91,37.5,11,37.5,21
AR,2010,4,"1,349","1,123",68,7.6,33,102,41.18,41.18,40.2,7,40.2,14
AR,2011,1,"1,345","1,103",68,8.6,31,115,43.33,43.33,37.7,18,37.7,25
AR,2011,2,"1,361","1,124",68,7.9,29,107,35.81,35.81,33.5,13,33.5,20
AR,2011,3,"1,366","1,105",66,8,28,109,35.39,35.39,32.5,13,32.5,15
AR,2011,4,"1,360","1,138",67,7.3,29,99,36.62,36.62,37.1,9,37.1,16
AR,2012,1,"1,348","1,121",67,7.9,31,106,37.17,37.17,35.1,22,35.1,27
AR,2012,2,"1,363","1,139",67,7.1,31,97,30.01,30.01,30.9,15,30.9,19
AR,2012,3,"1,353","1,108",67,7.3,26,99,32.74,32.75,33.2,10,33.2,10
AR,2012,4,"1,335","1,138",68,6.7,30,90,32.48,32.48,36,16,36,16
AR,2013,1,"1,325","1,123",68,7.7,28,102,32.63,32.63,32,24,32,24
AR,2013,2,"1,345","1,134",68,7.1,23,95,27.85,27.85,29.3,21,29.3,21
AR,2013,3,"1,338","1,111",68,7.1,24,95,27.98,27.98,29.5,19,29.5,19
AR,2013,4,"1,319","1,138",69,6.4,24,84,27.99,27.99,33.2,18,33.2,18
AR,2014,1,"1,316","1,123",68,6.8,24,89,28.17,28.17,31.6,29,31.6,29
AR,2014,2,"1,333","1,145",68,5.7,29,76,22.42,22.42,29.3,24,29.3,24
AR,2014,3,"1,335","1,124",68,5.9,28,79,21.99,21.99,27.9,16,27.9,16
AR,2014,4,"1,329","1,158",68,5.1,29,68,22.76,22.76,33.3,17,33.3,17
AZ,2009,1,"3,123","2,413",134,8.6,22,267,83.93,83.94,31.4,50,31.4,50
AZ,2009,2,"3,131","2,336",134,9.3,18,292,105.19,108.01,36.1,41,37,42
AZ,2009,3,"3,144","2,273",130,10.5,13,330,109.14,121.2,33.1,40,36.8,40
AZ,2009,4,"3,117","2,337",128,10.3,15,321,96.27,102.57,30,39,31.9,43
AZ,2010,1,"3,108","2,304",126,10.6,19,329,86.6,88.21,26.3,46,26.8,47
AZ,2010,2,"3,105","2,289",125,10.2,14,316,80.35,93.2,25.4,42,29.5,36
AZ,2010,3,"3,100","2,247",124,10.6,10,328,78.37,94.19,23.9,41,28.7,41
AZ,2010,4,"3,072","2,341",124,9.8,13,302,65.62,84.09,21.7,45,27.8,42
AZ,2011,1,"3,054","2,322",122,9.7,20,296,61.87,79.24,20.9,50,26.8,45
